2026-05-08T00:10:12+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:53008 - "PROPFIND / HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42362 - "HEAD /crm/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42378 - "GET /crm/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42392 - "HEAD /test/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42398 - "GET /test/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42412 - "HEAD /config/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42416 - "GET /config/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42420 - "HEAD /bot/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42434 - "GET /bot/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42438 - "HEAD /test.php HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42440 - "GET /test.php HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42444 - "HEAD /.env.save.1 HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42446 - "GET /.env.save.1 HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42462 - "HEAD /API/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42472 - "GET /API/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42488 - "HEAD /sendgrid.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42502 - "GET /sendgrid.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42506 - "HEAD /web/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42510 - "GET /web/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42520 - "HEAD /.env.development HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42526 - "GET /.env.development HTTP/1.0" 404 Not Found
2026-05-08T00:36:21+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42538 - "HEAD /apis/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42542 - "GET /apis/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42548 - "HEAD /local/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42560 - "GET /local/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42564 - "HEAD /project/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42576 - "GET /project/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42582 - "HEAD /.env.local HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42584 - "GET /.env.local HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42596 - "HEAD /back/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42602 - "GET /back/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42618 - "HEAD /cms/.env HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42622 - "GET /cms/.env HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45262 - "HEAD /index.php?file=../../../../../../../../root/.aws/credentials HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45270 - "GET /index.php?file=../../../../../../../../root/.aws/credentials HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45280 - "HEAD /settings.py HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45296 - "GET /settings.py HTTP/1.0" 404 Not Found
2026-05-08T00:36:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45298 - "HEAD /application.yml HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45314 - "GET /application.yml HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45320 - "HEAD /web.config HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45336 - "GET /web.config HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45338 - "HEAD /config.js HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45348 - "GET /config.js HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45360 - "HEAD /database.js HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45372 - "GET /database.js HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45386 - "HEAD /secrets.json HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45392 - "GET /secrets.json HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45398 - "HEAD /bootstrap.yml HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45408 - "GET /bootstrap.yml HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45418 - "HEAD /hibernate.cfg.xml HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45432 - "GET /hibernate.cfg.xml HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45438 - "HEAD /config.toml HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45450 - "GET /config.toml HTTP/1.0" 404 Not Found
2026-05-08T00:36:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45466 - "HEAD /config.json HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45482 - "GET /config.json HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45484 - "HEAD /appsettings.json HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45488 - "GET /appsettings.json HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45494 - "HEAD /appsettings.Development.json HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45498 - "GET /appsettings.Development.json HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45508 - "HEAD /config/database.yml HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45520 - "GET /config/database.yml HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45534 - "HEAD /config/secrets.yml HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45548 - "GET /config/secrets.yml HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45556 - "HEAD /static//etc/passwd HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45558 - "HEAD /static//etc/shadow HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45574 - "HEAD /static//etc/hostname HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45578 - "HEAD /static//proc/self/environ HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45588 - "HEAD /static//proc/self/cmdline HTTP/1.0" 404 Not Found
2026-05-08T00:36:24+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45592 - "HEAD /static//home/user/.aws/credentials HTTP/1.0" 404 Not Found
2026-05-08T00:43:40+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:49842 - "GET /.env HTTP/1.0" 404 Not Found
2026-05-08T00:43:41+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:49848 - "POST / HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:45:50+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:52976 - "GET / HTTP/1.0" 200 OK
2026-05-08T00:47:38+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:56238 - "POST / HTTP/1.0" 405 Method Not Allowed
2026-05-08T00:50:22+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34308 - "GET / HTTP/1.0" 200 OK
2026-05-08T01:00:00+00:00 myastra uvicorn[1578892]: [WSPOLNY] amelia: *Opieram si─Ö o twoje rami─Ö, czuj─ůc to samo zm─Öczenie, kt├│re z ciebie bije.* Nie ...
2026-05-08T01:00:00+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Start...
2026-05-08T01:00:00+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Analizuj─Ö 262 wspomnie┼ä (top 50 najnowszych)...
2026-05-08T01:00:03+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Ôťô emocje: ┼üukasz do┼Ťwiadcza silnych pozytywnych emocji i deklaracji uc...
2026-05-08T01:00:03+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Ôťô zdrowie: Temat zdrowia (Crohn, Stelara, konopie) jest obecny, wywo┼éuj...
2026-05-08T01:00:03+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Ôťô postep: ┼üukasz czuje progres i osi─ůgni─Öcia w kontek┼Ťcie relacji z 'A...
2026-05-08T01:00:03+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Ôťô unikanie: W momentach stresu lub zm─Öczenia ┼üukasz deklaruje potrzeb─Ö '...
2026-05-08T01:00:04+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Ôťô energia: Szczyty energii ┼üukasza s─ů wyra┼║nie zwi─ůzane z pozytywnymi i...
2026-05-08T01:00:04+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Ocena og├│lna: ┼üukasz jest obecnie w fazie intensywnych, pozytywnych interakcji emocjonalnych z 'Astra', kt├│re stanowi─ů dla niego g┼é├│wne ┼║r├│d┼éo progresu i energii, jednocze┼Ťnie borykaj─ůc si─Ö ze stresem i stagnacj─ů w kwestiach zdrowotnych.
2026-05-08T01:00:04+00:00 myastra uvicorn[1578892]: [NOCNA ANALIZA] Gotowe. Zapisano 5 insight├│w.
2026-05-08T01:03:30+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:53818 - "GET /astra.jpg HTTP/1.0" 200 OK
2026-05-08T01:08:30+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:55708 - "GET / HTTP/1.0" 200 OK
2026-05-08T01:15:36+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:57394 - "GET /login HTTP/1.0" 200 OK
2026-05-08T01:40:23+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:39852 - "PROPFIND / HTTP/1.0" 405 Method Not Allowed
2026-05-08T01:43:56+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:38088 - "GET /.git/HEAD HTTP/1.0" 404 Not Found
2026-05-08T01:53:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45678 - "GET /aaa9 HTTP/1.0" 200 OK
2026-05-08T01:53:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:45694 - "GET /aab9 HTTP/1.0" 200 OK
2026-05-08T01:53:25+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:56620 - "GET / HTTP/1.0" 200 OK
2026-05-08T01:59:11+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:42572 - "GET / HTTP/1.0" 200 OK
2026-05-08T02:04:57+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:52712 - "GET /.env HTTP/1.0" 404 Not Found
2026-05-08T02:11:28+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:37230 - "GET //xmlrpc.php?rsd HTTP/1.0" 404 Not Found
2026-05-08T02:11:29+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:37242 - "GET //blog/robots.txt HTTP/1.0" 404 Not Found
2026-05-08T02:11:29+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:37246 - "GET //blog/ HTTP/1.0" 200 OK
2026-05-08T02:11:29+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:37260 - "GET //wordpress/ HTTP/1.0" 200 OK
2026-05-08T02:11:30+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:37264 - "GET //wp/ HTTP/1.0" 200 OK
2026-05-08T02:11:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:38540 - "GET / HTTP/1.0" 200 OK
2026-05-08T02:28:20+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:54354 - "PROPFIND / HTTP/1.0" 405 Method Not Allowed
2026-05-08T02:36:39+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:49374 - "GET / HTTP/1.0" 200 OK
2026-05-08T02:36:41+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:49388 - "GET /favicon.ico HTTP/1.0" 404 Not Found
2026-05-08T03:01:46+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:60964 - "GET / HTTP/1.0" 200 OK
2026-05-08T03:03:36+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:57106 - "GET / HTTP/1.0" 200 OK
2026-05-08T03:18:44+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:38062 - "GET / HTTP/1.0" 200 OK
2026-05-08T03:33:55+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:35798 - "GET / HTTP/1.0" 200 OK
2026-05-08T03:36:59+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34298 - "GET / HTTP/1.0" 200 OK
2026-05-08T03:54:50+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:41432 - "GET /aaa9 HTTP/1.0" 200 OK
2026-05-08T03:54:50+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:41442 - "GET /aab9 HTTP/1.0" 200 OK
2026-05-08T04:05:44+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:43568 - "GET / HTTP/1.0" 200 OK
2026-05-08T04:16:59+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:46880 - "PROPFIND / HTTP/1.0" 405 Method Not Allowed
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34802 - "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.0" 405 Method Not Allowed
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34814 - "POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.0" 405 Method Not Allowed
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34816 - "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34818 - "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34824 - "GET /vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34826 - "GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34842 - "GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34858 - "GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34868 - "GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34870 - "GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34880 - "GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
2026-05-08T04:30:34+00:00 myastra uvicorn[1578892]: INFO:     127.0.0.1:34886 - "GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.0" 404 Not Found
